Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,Detected City,Detected District,Detected State,State code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
376452,,13/11/2020,,,,Chhota Udaipur,Gujarat,GJ,4,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376453,,13/11/2020,,,,Dahod,Gujarat,GJ,19,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376454,,13/11/2020,,,,Devbhumi Dwarka,Gujarat,GJ,4,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376455,,13/11/2020,,,,Gandhinagar,Gujarat,GJ,51,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376456,,13/11/2020,,,,Gir Somnath,Gujarat,GJ,8,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376457,,13/11/2020,,,,Jamnagar,Gujarat,GJ,24,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376458,,13/11/2020,,,,Junagadh,Gujarat,GJ,14,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376459,,13/11/2020,,,,Kheda,Gujarat,GJ,18,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376460,,13/11/2020,,,,Kutch,Gujarat,GJ,14,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376461,,13/11/2020,,,,Mahisagar,Gujarat,GJ,12,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376462,,13/11/2020,,,,Mehsana,Gujarat,GJ,74,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
376463,,13/11/2020,,,,Morbi,Gujarat,GJ,10,Hospitalized,,,https://twitter.com/DDNewsGujarati/status/1327241302644195331,,,,,,
